file_path,pdf_folder,umap_x,umap_y
../Data/images\FS12\page_006.png,FS12,4.639421,-12.241686
../Data/images\FS12\page_007.png,FS12,13.256459,-13.89788
../Data/images\FS12\page_008.png,FS12,13.1500435,-14.073229
../Data/images\FS12\page_009.png,FS12,14.954219,-13.195731
../Data/images\FS12\page_010.png,FS12,13.21239,-14.204551
../Data/images\FS12\page_011.png,FS12,12.022678,-11.864414
../Data/images\FS12\page_012.png,FS12,11.778356,-11.588851
../Data/images\FS12\page_013.png,FS12,5.0074873,-8.994709
../Data/images\FS12\page_014.png,FS12,5.225639,-11.353397
../Data/images\FS12\page_015.png,FS12,4.939475,-11.771084
../Data/images\FS12\page_016.png,FS12,5.947485,-11.416543
../Data/images\FS12\page_017.png,FS12,5.977141,-9.724753
../Data/images\FS12\page_018.png,FS12,4.7947083,-10.395267
../Data/images\FS12\page_019.png,FS12,6.064201,-10.054681
../Data/images\FS12\page_020.png,FS12,5.1856976,-9.945564
../Data/images\FS12\page_021.png,FS12,5.159907,-9.105889
../Data/images\FS12\page_022.png,FS12,5.853606,-9.417354
../Data/images\FS12\page_023.png,FS12,5.383091,-11.752519
../Data/images\FS12\page_024.png,FS12,5.6781197,-10.664114
../Data/images\FS12\page_025.png,FS12,5.6139812,-9.579662
../Data/images\FS12\page_026.png,FS12,4.9333963,-10.451908
../Data/images\FS12\page_027.png,FS12,5.1404014,-9.292798
../Data/images\FS12\page_028.png,FS12,5.6860127,-9.040814
../Data/images\FS12\page_029.png,FS12,4.901696,-9.965484
../Data/images\FS12\page_030.png,FS12,5.793216,-9.073917
../Data/images\FS12\page_031.png,FS12,3.719191,-9.904931
../Data/images\FS12\page_032.png,FS12,14.964119,-12.907884
../Data/images\FS12\page_033.png,FS12,12.348835,-12.393275
../Data/images\FS12\page_034.png,FS12,10.992214,-11.387428
../Data/images\FS12\page_035.png,FS12,4.047791,-13.766675
../Data/images\FS12\page_036.png,FS12,14.343021,-11.685787
../Data/images\FS12\page_037.png,FS12,11.187949,-12.623467
../Data/images\FS12\page_038.png,FS12,10.692834,-12.605709
../Data/images\FS12\page_039.png,FS12,11.321973,-12.67173
../Data/images\FS12\page_040.png,FS12,5.4445653,-9.325441
../Data/images\FS12\page_041.png,FS12,8.434868,-12.041329
../Data/images\FS12\page_042.png,FS12,5.0355887,-12.406534
../Data/images\FS12\page_043.png,FS12,10.768519,-11.210817
../Data/images\FS12\page_044.png,FS12,9.246428,-12.233197
../Data/images\FS12\page_045.png,FS12,11.845129,-12.331407
../Data/images\FS12\page_046.png,FS12,11.28729,-13.088658
../Data/images\FS12\page_047.png,FS12,6.5449176,-11.446307
../Data/images\FS12\page_048.png,FS12,12.490881,-13.071994
../Data/images\FS12\page_049.png,FS12,11.436236,-13.248542
../Data/images\FS12\page_050.png,FS12,11.789075,-13.189403
../Data/images\FS12\page_051.png,FS12,4.1499357,-13.324199
../Data/images\FS12\page_052.png,FS12,14.442766,-12.508626
../Data/images\FS12\page_053.png,FS12,15.104886,-12.966274
../Data/images\FS12\page_054.png,FS12,5.2422776,-10.29597
../Data/images\FS12\page_055.png,FS12,11.613233,-11.481056
../Data/images\FS12\page_056.png,FS12,13.540438,-11.352456
../Data/images\FS12\page_057.png,FS12,10.689266,-12.449589
../Data/images\FS12\page_058.png,FS12,4.396535,-13.846156
../Data/images\FS12\page_059.png,FS12,15.072506,-13.021161
../Data/images\FS12\page_060.png,FS12,15.090879,-13.078428
../Data/images\FS12\page_061.png,FS12,8.753542,-12.307794
../Data/images\FS12\page_062.png,FS12,10.11525,-12.942554
../Data/images\FS12\page_063.png,FS12,10.670512,-13.157547
../Data/images\FS12\page_064.png,FS12,4.524556,-10.987011
../Data/images\FS13\page_001.png,FS13,2.6821167,-15.786115
../Data/images\FS13\page_002.png,FS13,1.5250231,-16.151905
../Data/images\FS13\page_003.png,FS13,4.7925377,-11.175908
